"market_id","store_primary_category","order_protocol","total_items","subtotal","min_item_price","max_item_price","total_onshift_partners","total_busy_partners","total_outstanding_orders","created_day","created_holiday","created_at","actual_delivery_time","complaint","complaint_id"
"AREA F","","Protocol 1",1,2000,2000,2000,"","","","Sunday","NO","04:09:05","04:56:11","YES","0059"
"AREA F","salad","Protocol 3",1,520,520,520,"","","","Wednesday","NO","02:46:39","03:30:10","",""
"AREA B","pizza","Protocol 5",1,1900,1900,1900,60.0,56.0,66,"Saturday","NO","21:56:10","22:26:23","",""
"AREA A","cafe","Protocol 4",1,499,439,439,15.0,15.0,10,"Saturday","NO","19:44:03","20:32:25","",""
"AREA E","burger","Protocol 5",2,1245,395,700,15.0,16.0,28,"Monday","NO","02:16:30","03:45:53","",""
"AREA A","japanese","Protocol 1",6,2530,308,870,11.0,9.0,9,"Thursday","NO","04:01:52","04:34:18","",""
"AREA A","chinese","Protocol 2",1,710,710,710,16.0,19.0,18,"Wednesday","NO","04:09:02","05:23:59","",""
"AREA D","chinese","Protocol 4",5,1780,160,600,106.0,80.0,141,"Sunday","NO","02:43:50","03:31:25","",""
"AREA F","","Protocol 2",2,1650,800,850,"","","","Sunday","NO","03:33:32","05:42:21","YES","0060"
"AREA D","mexican","Protocol 2",3,3785,995,1395,64.0,64.0,142,"Monday","NO","02:43:12","04:23:54","",""
"AREA D","nepalese","Protocol 5",3,2397,799,799,44.0,33.0,34,"Sunday","NO","22:18:19","22:48:36","YES","0061"
"AREA C","mexican","Protocol 5",2,2848,1299,1299,2.0,1.0,1,"Monday","NO","00:28:14","01:03:59","",""
"AREA D","italian","Protocol 3",1,1695,1695,1695,11.0,10.0,16,"Saturday","NO","06:04:26","06:47:30","",""
"AREA E","chinese","Protocol 4",2,870,160,710,16.0,7.0,6,"Tuesday","NO","21:06:49","21:42:28","",""
"AREA A","pizza","Protocol 3",1,699,699,699,28.0,24.0,25,"Wednesday","NO","04:09:01","04:52:17","",""
"AREA B","mediterranean","Protocol 2",1,1099,1099,1099,60.0,56.0,76,"Wednesday","NO","20:03:23","20:43:39","",""
"AREA B","pizza","Protocol 5",1,1705,1705,1705,47.0,47.0,58,"Saturday","NO","06:07:01","06:58:22","",""
"AREA C","japanese","Protocol 2",1,1345,895,895,13.0,11.0,8,"Wednesday","NO","19:40:03","20:08:34","",""
"AREA D","indian","Protocol 5",3,3985,895,1695,99.0,93.0,190,"Saturday","NO","02:42:17","03:53:16","",""
"AREA E","japanese","Protocol 5",4,3300,600,1400,60.0,38.0,58,"Thursday","NO","03:02:19","04:04:01","",""
"AREA D","salad","Protocol 2",2,1445,495,950,59.0,39.0,73,"Tuesday","NO","19:03:00","19:51:29","YES","0062"
"AREA B","mexican","Protocol 3",2,2339,939,948,11.0,11.0,25,"Friday","NO","17:48:37","18:31:36","",""
"AREA D","middle-eastern","Protocol 3",2,2285,960,1025,91.0,86.0,124,"Friday","NO","01:24:58","02:04:29","",""
"AREA A","sandwich","Protocol 3",2,2920,1395,1525,18.0,19.0,25,"Friday","NO","03:54:19","04:38:52","",""
"AREA B","mexican","Protocol 5",2,1943,799,799,76.0,76.0,123,"Tuesday","NO","01:59:28","02:36:29","YES","0063"
"AREA D","indian","Protocol 2",1,1099,1099,1099,11.0,7.0,7,"Saturday","NO","06:25:48","07:00:53","",""
"AREA B","thai","Protocol 3",7,5500,300,1100,78.0,71.0,90,"Thursday","NO","03:27:32","04:09:12","",""
"AREA B","sandwich","Protocol 3",2,648,199,299,89.0,77.0,85,"Wednesday","NO","01:38:44","02:37:59","",""
"AREA B","seafood","Protocol 1",4,3177,0,909,63.0,63.0,88,"Thursday","NO","01:25:37","02:09:06","YES","0064"
"AREA B","seafood","Protocol 5",7,4415,195,1195,131.0,130.0,230,"Saturday","NO","02:52:41","04:06:27","YES","0065"
"AREA C","thai","Protocol 1",2,2300,1100,1200,39.0,36.0,31,"Saturday","NO","02:06:28","02:52:24","",""
"AREA A","burger","Protocol 3",2,1388,539,849,23.0,23.0,23,"Wednesday","NO","01:09:40","01:45:23","YES","0066"
"AREA C","italian","Protocol 1",3,3900,900,1600,101.0,124.0,130,"Sunday","NO","02:17:20","03:09:00","YES","0067"
"AREA E","pizza","Protocol 5",2,1045,350,595,58.0,58.0,69,"Monday","NO","04:27:46","04:48:17","",""
"AREA B","breakfast","Protocol 1",1,4400,4400,4400,19.0,21.0,29,"Friday","NO","22:35:35","23:21:33","",""
"AREA F","dim-sum","Protocol 3",6,4390,575,850,"","","","Tuesday","NO","04:18:56","04:53:46","",""
"AREA F","italian","Protocol 3",1,1899,1899,1899,"","","","Saturday","NO","02:34:45","03:44:24","",""
"AREA F","chinese","Protocol 5",4,3740,175,1295,"","","","Thursday","NO","03:01:46","04:15:03","YES","0068"
"AREA A","greek","Protocol 3",14,7582,247,1422,85.0,84.0,133,"Wednesday","NO","02:34:17","03:29:49","",""
"AREA B","chinese","Protocol 1",2,2387,1033,1343,100.0,103.0,169,"Sunday","NO","03:52:55","04:42:55","",""
"AREA B","seafood","Protocol 5",4,6100,1250,1650,21.0,18.0,18,"Monday","NO","21:48:37","22:29:44","YES","0069"
"AREA D","mexican","Protocol 3",6,6110,975,975,48.0,46.0,59,"Saturday","NO","20:10:16","21:05:38","",""
"AREA F","burger","Protocol 1",2,1120,125,995,"","","","Sunday","NO","00:47:08","01:35:03","",""
"AREA A","japanese","Protocol 1",3,2648,150,1799,20.0,19.0,25,"Friday","NO","00:41:15","02:14:26","",""
"AREA A","breakfast","Protocol 5",6,5760,725,1195,4.0,5.0,5,"Friday","NO","18:19:45","18:54:02","YES","0070"
"AREA A","mediterranean","Protocol 5",2,2950,1250,1250,53.0,53.0,86,"Monday","NO","02:00:06","02:36:37","",""
"AREA E","barbecue","Protocol 2",3,2647,249,1299,23.0,21.0,33,"Sunday","NO","02:55:27","04:19:11","",""
"AREA A","american","Protocol 1",1,995,995,995,11.0,14.0,22,"Monday","NO","04:39:26","05:20:53","YES","0071"
"AREA E","salad","Protocol 4",9,4460,199,889,12.0,12.0,20,"Monday","NO","20:14:23","21:34:01","YES","0072"
"AREA B","","Protocol 1",3,1924,599,625,30.0,27.0,29,"Wednesday","NO","00:12:41","00:53:20","",""
"AREA A","japanese","Protocol 1",6,3860,200,950,68.0,50.0,51,"Thursday","NO","02:29:07","03:24:34","",""
"AREA B","mediterranean","Protocol 2",2,1600,750,850,20.0,19.0,23,"Sunday","NO","19:43:46","20:32:22","YES","0073"
"AREA E","sandwich","Protocol 3",2,1398,599,699,5.0,6.0,8,"Saturday","NO","23:48:59","00:24:01","",""
"AREA D","thai","Protocol 5",3,2165,175,1395,91.0,121.0,154,"Tuesday","NO","03:14:02","03:50:51","",""
"AREA B","mexican","Protocol 5",2,1074,275,799,158.0,132.0,223,"Saturday","NO","03:04:57","04:03:42","",""
"AREA E","american","Protocol 4",3,2298,109,1589,9.0,5.0,7,"Tuesday","NO","23:48:14","00:20:05","",""
"AREA D","mexican","Protocol 3",11,6585,110,950,70.0,62.0,99,"Friday","NO","02:23:19","03:05:06","",""
"AREA B","pizza","Protocol 1",1,1299,1299,1299,12.0,3.0,2,"Friday","NO","00:14:14","00:47:38","YES","0074"
"AREA E","pizza","Protocol 3",4,3676,729,1349,49.0,30.0,47,"Wednesday","NO","02:52:28","03:51:59","YES","0075"
"AREA D","indian","Protocol 3",7,5675,200,1395,68.0,61.0,104,"Saturday","NO","01:38:36","02:27:37","YES","0076"
"AREA C","american","Protocol 1",4,4380,695,1525,58.0,57.0,71,"Monday","NO","02:22:31","03:21:36","YES","0077"
"AREA B","american","Protocol 1",1,1200,1200,1200,42.0,31.0,37,"Wednesday","NO","19:07:02","19:35:20","",""
"AREA B","american","Protocol 4",3,1644,174,570,57.0,43.0,65,"Sunday","NO","01:14:20","02:00:40","",""
"AREA E","american","Protocol 4",1,1049,1049,1049,50.0,39.0,59,"Tuesday","NO","02:28:32","03:04:53","",""
"AREA C","american","Protocol 3",1,1300,1300,1300,13.0,12.0,12,"Wednesday","NO","22:32:54","23:14:05","",""
"AREA B","american","Protocol 3",4,3146,229,1139,95.0,55.0,56,"Monday","NO","01:01:29","01:51:19","YES","0078"
"AREA C","greek","Protocol 1",8,5070,175,1249,3.0,2.0,2,"Wednesday","NO","02:13:10","02:49:27","YES","0079"
"AREA D","thai","Protocol 2",9,10200,600,2000,27.0,25.0,25,"Thursday","NO","05:19:28","05:45:09","YES","0080"
"AREA B","fast","Protocol 4",5,725,129,169,44.0,43.0,78,"Monday","NO","19:45:08","20:32:11","",""
"AREA B","sandwich","Protocol 3",2,1577,479,748,48.0,42.0,97,"Saturday","NO","02:23:13","03:13:26","YES","0081"
"AREA A","breakfast","Protocol 2",2,1050,375,395,0.0,0.0,1,"Monday","NO","17:42:35","18:39:06","",""
"AREA D","sandwich","Protocol 1",2,2650,900,1750,72.0,71.0,118,"Saturday","NO","03:28:26","04:37:08","",""
"AREA C","pizza","Protocol 1",2,1798,899,899,24.0,21.0,20,"Saturday","NO","04:13:11","04:51:50","",""
"AREA D","mediterranean","Protocol 2",4,3488,399,1595,90.0,84.0,153,"Sunday","NO","02:52:53","03:45:20","YES","0082"
"AREA B","american","Protocol 5",2,2590,1195,1395,21.0,20.0,28,"Saturday","NO","17:23:05","17:59:09","",""
"AREA B","pizza","Protocol 5",3,2517,549,1399,80.0,102.0,103,"Tuesday","NO","02:06:02","02:54:43","",""
"AREA B","american","Protocol 1",1,1095,895,895,108.0,83.0,102,"Sunday","NO","01:28:03","02:17:00","YES","0083"
"AREA B","pizza","Protocol 3",1,1649,1499,1499,70.0,70.0,85,"Saturday","NO","20:34:39","21:12:41","",""
"AREA A","fast","Protocol 4",11,1194,0,229,2.0,2.0,0,"Monday","NO","23:32:08","01:02:03","YES","0084"
"AREA B","indian","Protocol 5",4,1895,125,925,36.0,35.0,76,"Sunday","NO","03:47:11","04:40:57","YES","0085"
"AREA F","dessert","Protocol 5",3,1550,350,600,"","","","Thursday","NO","05:19:53","06:16:26","",""
"AREA D","pizza","Protocol 5",1,2500,2000,2000,107.0,102.0,145,"Wednesday","NO","02:36:17","03:30:56","",""
"AREA D","pizza","Protocol 5",1,2724,1599,1599,108.0,103.0,189,"Saturday","NO","01:46:17","02:29:57","",""
"AREA E","latin-american","Protocol 1",4,4535,795,1495,50.0,33.0,51,"Wednesday","NO","03:04:21","03:40:42","YES","0086"
"AREA A","mediterranean","Protocol 1",7,6991,249,1853,3.0,3.0,6,"Monday","NO","02:23:41","03:20:50","",""
"AREA B","chinese","Protocol 1",2,1390,695,695,19.0,19.0,18,"Monday","NO","22:11:55","22:48:59","YES","0087"
"AREA C","mexican","Protocol 1",1,891,891,891,13.0,12.0,21,"Monday","NO","19:16:47","20:10:10","",""
"AREA D","indian","Protocol 2",6,1349,100,499,61.0,65.0,156,"Monday","NO","03:14:58","04:48:19","YES","0088"
"AREA B","breakfast","Protocol 2",3,1325,225,625,4.0,4.0,6,"Friday","NO","16:17:58","17:04:13","",""
"AREA B","pizza","Protocol 5",2,4950,2000,2150,88.0,85.0,143,"Sunday","NO","03:05:17","04:02:21","YES","0089"
"AREA D","japanese","Protocol 3",7,3775,150,1295,75.0,75.0,132,"Monday","NO","03:43:40","04:27:57","YES","0090"
"AREA C","alcohol","Protocol 3",4,1870,399,536,3.0,3.0,4,"Friday","NO","20:48:35","21:27:13","",""
"AREA D","burger","Protocol 5",2,1908,549,599,82.0,70.0,131,"Sunday","NO","03:54:51","04:33:45","",""
"AREA A","mediterranean","Protocol 5",2,2840,1195,1195,17.0,16.0,12,"Monday","NO","22:35:42","23:21:40","",""
"AREA B","pizza","Protocol 5",4,4261,479,1329,29.0,27.0,40,"Tuesday","NO","00:45:34","01:25:15","",""
"AREA D","mediterranean","Protocol 2",7,6735,250,1450,64.0,58.0,64,"Wednesday","NO","01:23:31","02:15:02","",""
"AREA B","sandwich","Protocol 5",1,1291,999,999,22.0,23.0,31,"Monday","NO","22:00:04","23:03:10","",""
"AREA E","cajun","Protocol 1",4,4296,599,1599,23.0,39.0,19,"Sunday","NO","05:06:35","05:35:00","",""
"AREA B","mexican","Protocol 2",3,945,195,395,47.0,58.0,42,"Sunday","NO","19:18:11","19:55:00","YES","0091"
"AREA A","sandwich","Protocol 3",2,1465,695,695,10.0,12.0,14,"Friday","NO","06:42:27","07:27:38","",""
"AREA C","american","Protocol 1",2,1900,675,1125,21.0,23.0,29,"Friday","NO","02:42:12","03:27:24","YES","0092"
"AREA B","american","Protocol 1",3,3875,630,2250,126.0,119.0,196,"Sunday","NO","02:36:43","03:55:46","",""
"AREA D","catering","Protocol 3",6,5825,695,1150,89.0,119.0,155,"Tuesday","NO","03:19:16","04:14:22","YES","0093"
"AREA D","sandwich","Protocol 3",1,898,799,799,31.0,48.0,42,"Saturday","NO","20:48:14","21:19:47","",""
"AREA F","fast","Protocol 4",5,1932,165,767,"","","","Tuesday","NO","21:13:06","21:46:22","",""
"AREA D","burger","Protocol 5",12,7478,249,929,42.0,40.0,52,"Wednesday","NO","19:35:22","20:14:19","YES","0094"
"AREA A","american","Protocol 5",2,2410,995,1025,21.0,24.0,27,"Sunday","NO","21:17:10","21:48:15","",""
"AREA B","mexican","Protocol 5",20,13019,279,999,39.0,39.0,53,"Monday","NO","20:07:01","21:18:48","",""
"AREA A","fast","Protocol 2",2,925,325,600,5.0,6.0,5,"Thursday","NO","22:28:25","23:15:24","",""
"AREA B","japanese","Protocol 2",4,3900,500,1400,53.0,46.0,60,"Friday","NO","01:55:08","02:40:31","",""
"AREA A","american","Protocol 5",6,4275,375,1450,34.0,34.0,50,"Tuesday","NO","01:46:41","02:47:47","",""
"AREA B","fast","Protocol 4",4,1698,0,1199,33.0,33.0,51,"Monday","NO","23:31:43","00:07:27","",""
"AREA F","burger","Protocol 3",1,1385,1195,1195,"","","","Friday","NO","01:56:45","02:49:20","",""
"AREA D","japanese","Protocol 2",4,3135,250,1395,81.0,81.0,145,"Sunday","NO","03:41:47","04:38:07","YES","0095"
"AREA B","sandwich","Protocol 1",1,750,750,750,30.0,28.0,36,"Thursday","NO","22:17:31","23:10:11","",""
"AREA A","american","Protocol 2",2,1080,225,795,30.0,27.0,29,"Friday","NO","19:46:47","20:12:32","",""
"AREA B","japanese","Protocol 1",5,6730,450,1795,134.0,116.0,187,"Monday","NO","02:40:04","03:31:03","",""
"AREA B","cafe","Protocol 2",1,1000,1000,1000,13.0,8.0,7,"Saturday","NO","18:17:12","18:41:47","",""
"AREA D","sandwich","Protocol 5",2,2119,898,1221,33.0,54.0,43,"Monday","YES","19:56:46","20:36:29","",""
"AREA A","pizza","Protocol 3",4,3767,344,1651,33.0,27.0,24,"Sunday","NO","23:43:04","00:32:06","",""
"AREA B","sushi","Protocol 3",4,3400,350,1550,108.0,105.0,177,"Saturday","NO","02:15:03","03:27:34","YES","0096"
"AREA D","french","Protocol 3",2,2600,1000,1200,30.0,29.0,35,"Tuesday","NO","20:42:37","21:18:54","",""
"AREA E","burger","Protocol 4",3,1847,309,669,15.0,15.0,15,"Saturday","NO","19:50:04","20:23:25","YES","0097"
"AREA D","vietnamese","Protocol 5",2,1590,795,795,103.0,99.0,225,"Saturday","NO","03:14:21","04:09:17","YES","0098"
"AREA E","burger","Protocol 1",6,3100,250,750,42.0,16.0,17,"Saturday","NO","01:06:15","01:46:33","",""
"AREA A","chinese","Protocol 4",1,600,600,600,15.0,17.0,19,"Friday","NO","22:22:35","23:14:41","",""
"AREA B","mediterranean","Protocol 2",2,1649,150,1299,20.0,19.0,23,"Sunday","NO","19:43:09","20:16:14","",""
"AREA C","american","Protocol 1",1,650,650,650,"","","","Thursday","NO","05:36:58","06:06:53","",""
"AREA C","dessert","Protocol 4",4,2490,550,650,14.0,11.0,11,"Wednesday","NO","05:20:37","07:06:33","YES","0099"
"AREA D","dim-sum","Protocol 3",4,2900,150,1300,46.0,44.0,56,"Sunday","NO","20:25:12","21:15:18","",""
"AREA C","indian","Protocol 3",9,7000,300,1700,36.0,31.0,29,"Saturday","NO","02:28:00","03:14:43","YES","0100"
"AREA D","mexican","Protocol 1",4,1855,199,649,9.0,5.0,4,"Saturday","NO","22:48:38","23:52:02","YES","0101"
"AREA B","steak","Protocol 5",4,1746,299,499,65.0,47.0,58,"Saturday","NO","00:58:21","01:47:10","YES","0102"
"AREA E","fast","Protocol 4",6,1854,197,332,41.0,31.0,37,"Saturday","NO","04:41:12","05:33:06","",""
"AREA B","indian","Protocol 3",6,3185,300,795,65.0,64.0,117,"Saturday","NO","03:03:09","04:02:27","",""
"AREA C","pizza","Protocol 3",2,2138,749,1389,10.0,10.0,12,"Wednesday","NO","19:46:51","20:38:11","",""
"AREA B","burger","Protocol 2",2,1480,275,1205,58.0,56.0,83,"Monday","NO","04:38:44","05:14:33","",""
"AREA D","salad","Protocol 5",4,3520,385,1375,109.0,109.0,202,"Thursday","NO","02:46:02","03:43:57","YES","0103"
"AREA C","chinese","Protocol 4",2,980,490,490,5.0,3.0,3,"Friday","NO","01:02:06","02:11:35","YES","0104"
"AREA F","american","Protocol 5",2,4050,1945,1945,"","","","Thursday","NO","05:24:12","06:50:04","",""
"AREA B","fast","Protocol 4",9,1166,0,329,119.0,66.0,108,"Friday","NO","02:59:19","03:56:47","",""
"AREA C","american","Protocol 5",3,2600,650,1000,38.0,41.0,40,"Thursday","NO","03:10:37","04:17:22","",""
"AREA B","fast","Protocol 1",1,1100,1100,1100,8.0,11.0,14,"Tuesday","NO","01:47:12","02:46:54","",""
"AREA A","american","Protocol 1",2,2250,875,1125,28.0,29.0,39,"Thursday","NO","20:07:13","20:42:36","",""
"AREA B","korean","Protocol 1",2,2990,1495,1495,138.0,136.0,253,"Saturday","NO","03:54:38","05:13:25","",""
"AREA F","japanese","Protocol 2",3,5400,900,2400,"","","","Friday","NO","02:42:00","03:28:11","",""
"AREA C","other","Protocol 4",5,1745,189,579,41.0,42.0,36,"Saturday","NO","02:35:19","03:23:14","",""
"AREA B","sandwich","Protocol 3",1,4000,4000,4000,68.0,74.0,39,"Sunday","NO","20:39:36","21:31:56","",""
"AREA D","catering","Protocol 3",5,4175,250,1600,57.0,57.0,85,"Wednesday","NO","03:09:38","03:50:14","",""
"AREA B","sandwich","Protocol 3",2,1698,849,849,41.0,37.0,53,"Tuesday","NO","19:52:56","20:36:14","",""
"AREA B","mexican","Protocol 5",2,750,100,650,33.0,43.0,23,"Sunday","NO","23:45:58","00:17:50","",""
"AREA D","indian","Protocol 3",3,2795,350,2095,73.0,128.0,107,"Tuesday","NO","03:34:39","04:18:49","YES","0105"
"AREA C","breakfast","Protocol 5",1,975,850,850,11.0,5.0,4,"Friday","NO","18:49:32","19:48:54","",""
"AREA D","indian","Protocol 5",5,5380,200,1495,107.0,104.0,187,"Thursday","NO","02:22:41","03:10:31","",""
"AREA C","mexican","Protocol 1",5,931,135,239,"","","","Friday","NO","19:53:52","20:52:04","",""
"AREA B","dessert","Protocol 3",2,1350,250,1100,60.0,60.0,92,"Sunday","NO","20:51:45","22:00:16","YES","0106"
"AREA B","barbecue","Protocol 5",4,3065,150,1995,79.0,88.0,149,"Thursday","NO","03:41:09","04:45:53","",""
"AREA D","latin-american","Protocol 3",3,4100,875,1650,68.0,66.0,97,"Saturday","NO","01:28:25","02:24:17","",""
"AREA B","fast","Protocol 4",10,1720,119,299,122.0,120.0,204,"Saturday","NO","04:10:02","04:55:16","YES","0107"
"AREA D","thai","Protocol 2",3,3170,920,1200,66.0,59.0,92,"Sunday","NO","02:19:03","03:05:18","YES","0108"
"AREA D","mediterranean","Protocol 3",2,1845,600,1245,58.0,45.0,47,"Wednesday","NO","00:58:23","01:36:43","",""
"AREA D","pizza","Protocol 3",5,5665,479,1559,72.0,59.0,85,"Friday","NO","02:26:25","03:22:53","",""
"AREA B","american","Protocol 3",2,3390,1395,1995,11.0,45.0,15,"Tuesday","NO","05:53:34","06:25:17","",""
"AREA C","fast","Protocol 4",2,578,229,289,9.0,5.0,5,"Friday","NO","05:33:35","06:11:45","",""
"AREA B","pizza","Protocol 5",3,3827,729,1699,89.0,111.0,112,"Tuesday","NO","02:49:01","03:32:18","YES","0109"
"AREA A","burger","Protocol 1",2,690,160,530,60.0,60.0,93,"Saturday","NO","03:57:53","04:40:38","YES","0110"
"AREA E","indian","Protocol 2",4,2190,250,995,21.0,18.0,21,"Saturday","NO","02:34:36","03:45:09","",""
"AREA A","japanese","Protocol 1",3,3440,550,1595,11.0,11.0,11,"Friday","NO","03:22:09","03:49:36","YES","0111"
"AREA B","italian","Protocol 3",7,2947,0,1199,39.0,42.0,57,"Tuesday","NO","21:15:55","21:54:54","",""
"AREA D","sandwich","Protocol 2",4,3346,399,749,32.0,20.0,21,"Saturday","NO","21:58:26","22:25:48","",""
"AREA E","bubble-tea","Protocol 4",3,1680,500,565,11.0,13.0,15,"Tuesday","NO","22:09:30","22:59:40","",""
"AREA C","pizza","Protocol 5",1,1099,1099,1099,23.0,11.0,10,"Friday","NO","00:13:46","01:08:56","",""
"AREA B","dessert","Protocol 3",1,661,560,628,40.0,47.0,57,"Friday","NO","04:54:34","05:18:21","YES","0112"
"AREA C","","Protocol 1",4,3900,700,1200,2.0,1.0,2,"Tuesday","NO","04:15:11","04:50:21","",""
"AREA D","chinese","Protocol 3",2,2350,1150,1200,37.0,35.0,58,"Friday","NO","19:18:37","19:52:01","",""
"AREA A","korean","Protocol 2",4,1700,300,700,0.0,0.0,0,"Sunday","NO","00:54:24","01:47:43","",""
"AREA B","pizza","Protocol 1",1,1800,1275,1275,94.0,117.0,145,"Sunday","NO","03:27:55","04:28:23","",""
"AREA B","mexican","Protocol 5",2,1945,640,796,71.0,66.0,86,"Thursday","NO","01:15:14","02:05:08","",""
"AREA D","pizza","Protocol 3",3,2150,200,1500,66.0,62.0,109,"Sunday","NO","03:39:15","04:14:53","YES","0113"
"AREA A","pizza","Protocol 1",2,3050,1100,1500,43.0,43.0,57,"Wednesday","NO","02:25:43","03:06:49","YES","0114"
"AREA A","burger","Protocol 3",1,1144,675,675,5.0,8.0,2,"Tuesday","NO","05:45:04","06:08:55","",""
"AREA D","thai","Protocol 2",3,3320,950,1250,73.0,61.0,88,"Thursday","NO","02:31:38","03:10:30","",""
"AREA F","mexican","Protocol 3",2,1450,585,865,"","","","Friday","NO","19:05:34","19:32:57","",""
"AREA D","japanese","Protocol 1",1,975,975,975,35.0,91.0,39,"Tuesday","NO","00:53:56","01:47:17","",""
"AREA B","burger","Protocol 4",6,2724,249,669,62.0,46.0,48,"Sunday","NO","23:58:10","00:41:30","",""
"AREA D","korean","Protocol 1",3,4396,1199,1998,38.0,91.0,41,"Monday","YES","04:46:29","05:19:54","",""
"AREA F","pizza","Protocol 3",3,4367,1099,1469,"","","","Saturday","NO","05:33:59","06:55:49","",""
"AREA B","sandwich","Protocol 5",2,1872,679,709,64.0,53.0,54,"Thursday","NO","01:09:57","02:05:26","",""
"AREA A","burger","Protocol 4",1,1500,1225,1225,20.0,13.0,13,"Tuesday","NO","21:23:39","22:02:16","YES","0115"
"AREA B","sandwich","Protocol 3",7,2693,149,479,27.0,25.0,26,"Saturday","NO","22:27:39","22:54:05","",""
"AREA B","american","Protocol 3",2,2168,739,739,21.0,21.0,22,"Tuesday","NO","00:50:01","01:49:49","",""
"AREA D","mexican","Protocol 3",2,1570,670,850,64.0,59.0,112,"Saturday","NO","02:34:06","03:23:24","",""
"AREA F","dessert","Protocol 3",3,2750,1300,1700,"","","","Monday","NO","01:03:10","02:05:26","",""
"AREA A","cafe","Protocol 1",4,2290,0,795,19.0,24.0,24,"Wednesday","NO","05:09:28","05:58:26","",""
"AREA B","pizza","Protocol 3",3,1827,499,699,46.0,45.0,65,"Wednesday","NO","01:52:07","02:33:10","",""
"AREA C","steak","Protocol 4",1,1250,1250,1250,"","","","Friday","NO","18:14:11","18:43:14","",""
"AREA B","sandwich","Protocol 3",4,3095,429,879,75.0,73.0,95,"Thursday","NO","01:23:18","02:07:37","",""
"","","Protocol 2",2,2090,895,1195,85.0,85.0,177,"Tuesday","NO","19:41:03","21:48:19","YES","0116"
"AREA A","breakfast","Protocol 5",2,1850,725,1125,2.0,3.0,1,"Friday","NO","16:42:50","17:17:19","",""
"AREA B","american","Protocol 3",5,4500,550,1175,72.0,67.0,81,"Monday","NO","01:02:02","02:10:51","",""
"AREA C","mexican","Protocol 1",1,1275,1025,1025,0.0,0.0,0,"Friday","NO","04:18:18","04:35:45","",""
"AREA B","latin-american","Protocol 4",3,793,328,370,73.0,65.0,75,"Tuesday","NO","03:38:54","04:34:44","",""
"AREA D","mediterranean","Protocol 3",2,2595,850,1745,18.0,14.0,13,"Wednesday","NO","05:42:23","06:10:16","",""
"AREA B","vegetarian","Protocol 3",2,2075,900,1175,67.0,64.0,76,"Sunday","NO","22:05:38","22:48:53","",""
"AREA B","american","Protocol 3",2,2975,1025,1575,106.0,82.0,162,"Saturday","NO","01:50:46","02:55:58","",""
"AREA B","sandwich","Protocol 5",1,1212,1111,1111,24.0,18.0,18,"Monday","NO","21:28:01","21:48:59","",""
"AREA D","burger","Protocol 5",1,1600,1200,1200,67.0,66.0,148,"Tuesday","NO","19:34:35","20:45:39","",""
"AREA E","fast","Protocol 4",3,1021,165,319,48.0,60.0,52,"Sunday","NO","03:16:20","04:06:05","",""
"AREA D","vietnamese","Protocol 5",2,1390,595,795,95.0,50.0,68,"Saturday","NO","01:13:05","01:49:55","",""
"AREA B","indian","Protocol 2",8,4996,250,999,48.0,59.0,85,"Sunday","NO","02:49:37","04:16:41","",""
"AREA E","chinese","Protocol 5",1,1095,1095,1095,63.0,60.0,93,"Saturday","NO","03:58:25","05:02:30","",""
"AREA C","burger","Protocol 1",3,2237,578,920,5.0,5.0,3,"Wednesday","NO","00:11:03","00:46:36","",""
"AREA C","american","Protocol 1",3,3766,499,1649,8.0,8.0,2,"Sunday","NO","02:45:55","03:27:28","",""
"AREA F","other","Protocol 5",2,950,325,475,"","","","Thursday","NO","02:38:21","03:21:14","",""
"AREA B","burger","Protocol 3",3,1928,229,1000,131.0,130.0,230,"Saturday","NO","02:50:38","03:44:35","YES","0117"
"AREA A","burger","Protocol 1",5,2595,199,799,72.0,54.0,84,"Friday","NO","02:10:31","03:34:45","",""
"AREA B","pizza","Protocol 5",1,1900,1900,1900,64.0,66.0,74,"Saturday","NO","20:47:21","21:26:18","",""
"AREA C","japanese","Protocol 1",2,1550,675,875,18.0,18.0,19,"Sunday","NO","20:31:09","20:59:35","",""
"AREA F","burger","Protocol 2",4,3900,400,1400,"","","","Sunday","NO","02:19:47","03:05:09","",""
"AREA A","dessert","Protocol 1",4,3680,495,1695,19.0,19.0,26,"Saturday","NO","23:51:03","00:52:52","",""
"AREA B","pizza","Protocol 3",1,2320,1947,1947,64.0,62.0,67,"Monday","NO","00:10:41","00:49:15","",""
"AREA F","american","Protocol 3",3,2658,449,1459,"","","","Saturday","NO","18:33:26","19:19:16","",""
"AREA E","indian","Protocol 2",4,2400,250,950,31.0,25.0,33,"Thursday","NO","03:29:50","04:14:10","YES","0118"
"AREA B","alcohol","Protocol 4",2,1900,1900,2300,60.0,53.0,80,"Friday","NO","03:46:24","05:06:07","",""
"AREA A","american","Protocol 1",2,1875,350,1025,15.0,14.0,17,"Wednesday","NO","23:35:12","00:51:06","",""
"AREA D","italian","Protocol 5",3,3625,675,1450,97.0,79.0,136,"Saturday","NO","01:26:35","02:12:08","",""
"AREA B","burger","Protocol 1",2,1901,619,1282,45.0,45.0,64,"Tuesday","NO","19:49:40","20:21:34","YES","0119"
"AREA D","american","Protocol 3",2,2425,850,1575,25.0,26.0,48,"Tuesday","NO","01:22:13","02:02:56","YES","0120"
